0,0 VDA Information Security Assessment (DE),3,<b>Welcome to</b>,,,,,,4.1.1
,,,+ Certification in accordance with ISO 27001:2013 (including Scope Statement and SoA).,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
1.2,1.2 IS Risik Management,3,(Reference to ISO 27001: 8.2 and 6.1.2),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<h1>To what extent is a process for identifying, assessing and handling information security risks defined, documented and implemented?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"The objective of an organization-specific ISMS is an adequate balance between information security efforts and the assets to be protected. In order to achieve this, the assets, their protection needs and threats shall be identified, analyzed, assessed and documented by means of risk assessment. In absence of an information security risk assessment, the danger arises that information security risks remain undetected leading to potential harm.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Risk assessments are carried out both at regular intervals and in case of events.
+ Information security risks are classified according to their effects and probability of occurrence.
+ In case of changes to the environment (e.g. organizational structure, location, changes to regulations), reassessment is carried out in a timely manner.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ A process description indicating how to identify, assess and evaluate information security risks within the organization exists.
+ Criteria for the evaluation and handling as well as the acceptance of information security risks exist.
+ The identified information security risks, including cause, probability of occurrence, potential effects and their assessment are documented.
+ Measures for handling risks and the associated responsible persons are specified and documented.
- A plan of measures or an overview of their state of implementation exists.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,+ An overview of the experts (risk owners) exists.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
1.3,1.3 Effectiveness of the ISMS,3,"(Reference to ISO 27001: 8.1, 9.1, 10.1 and 10.2)",1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent is the effectiveness of the ISMS ensured?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"The ISMS must be reviewed at regular intervals (e.g. annually) with respect to its effectiveness. This includes verifying the achievement of objectives and the compliance with applicable requirements.
Only an ISMS adapted specifically to the organization’s requirements can fulfil its purpose. Since influencing factors such as organizational structure or local conditions may change, the effectiveness of the ISMS must be reviewed regularly.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The effectiveness is reviewed regularly by the persons responsible for information security and the management.
+ The results of the effectiveness inspection and the specified measures are documented.
+ A plan of measures or an overview of their state of implementation (including those resulting from previous reviews) is in place, the implementation of those measures is monitored.
+ If any security-related events occur, they are analyzed.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ The ISMS is regularly inspected for its adequacy and appropriateness.
+ The documentation is regularly reviewed and revised with respect to its actuality.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
5,5 Information Security Policies,,,,,,,,4.0.0
5.1,5.1 Information Security Policy,3,(Reference to ISO 27001: Control A.5.1.1 and A.5.1.2),1,1,,2,3,4.0.0
,,,,,,,,,
,,,"<h1>To what extent is an information security policy created, published or distributed and is it reviewed at regular intervals?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"The organization must define a policy reflecting the importance and significance of information security to the organization. This must be adapted to the business strategy, regulations, legislation and potential threat situations regarding information security. It must be evident to all of the involved parties that information security is supported by the management of the organization, that it is of relevance to everyone and that requirements and rules apply which must be met.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The information security requirements adapted to the company’s objectives with respect to information protection are documented in a policy and are approved by the management of the organization.
+ The policy includes objectives and the significance of information security within the organization.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ The information security requirements based on the strategy of the organization, legislation and contracts are taken into account in the policy.
+ Responsibilities for implementation are defined.
+ The policy indicates consequences in case of non-conformance.
+ Further policies/regulations/standards regarding information security are prepared.
+ A process for regular review and revision of the policies is established.
+ The policies are made adequately available to employees.
+ These policies (or extracts thereof) are provided to external business partners depending on the respective case.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,+ The policies are made available on the intranet.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,,,,,,,
6,6 Organization of Information Security,,,,,,,,4.0.0
6.1,6.1 Assigning responsibility for information security,3,(Reference to ISO 27001: Control A.6.1.1),1,1,,2,3,4.1.0
,,,,,,,,,
,,,<h1>To what extent are responsibilities for information security defined and assigned?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Successful implementation of an ISMS requires adequate assignment of information security responsibilities. This requires the definition of roles fulfilling the tasks for achieving the protection objectives. Qualified employees who are known to the organization’s staff and, if appropriate, also to business partners are required to fulfil those tasks.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ Responsibilities for the information security within the organization are defined, documented and assigned.
+ The responsible employees are defined and qualified for their task.
+ The contact persons are known within the organization and to relevant business partners.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ There is a definition and documentation of an adequate information security structure within the organization.
+ The necessary resources for information security are determined and provided to the responsible employees.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,"+ Responsibilities and contact persons for information security are made known and available to employees and external business partners, as far as required for fulfilling the assigned task(s).",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,+ An appropriate organizational separation of responsibilities should be established in order to avoid conflict of interests.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
6.2,6.2 Information Security in projects,3,(Reference to ISO 27001: Control A.6.1.5),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent are information security requirements taken into account in project work (irrespective of project type)?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,The information security requirements must be taken into account irrespective of the project type (this includes non-IT projects). This also includes the handling of information security and information security risks in the organization’s project management methods.,,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ Projects are to be classified while taking into account the information security requirements.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ The procedure and criteria for the classification of projects are documented.
+ In early project phases, risk assessments are carried out based on the defined procedures.
+ For identified information security risks (see Control 1.2), measures are derived and taken into account in the project.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,+ The measures derived are reviewed regularly during the project and reassessed in case of changes to the assessment criteria.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
6.3,6.3 Mobile devices,3,(Reference to ISO 27001: Control A.6.2.1 and A.6.2.2),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent is a policy in place regarding the use of mobile devices and remote access to the organization's data?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"The handling of mobile devices, particularly in unprotected environments, is associated with increased risks (e.g. loss, theft, malware infection). In order to protect the information stored on the device, technical protective measures must be implemented. Additionally, employees must be made aware of the risks involved in the handling of mobile devices.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The use of mobile devices (e.g. smartphones, notebooks) is subject to regulation.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ A policy is prepared considering the following aspects:
  - Registration of mobile devices
  - Physical protection requirements (among others against theft, spying on information)
  - Software installation restrictions
  - Requirements for the versioning of software for mobile devices and the associated patch management
  - Limitations of access to certain information services
  - Encryption techniques
  - Data backup
  - Protection against malware
  - Remote deletion methods
  - Use of web services and web apps
  - Procedure in case the mobile device is lost
+ Users sign an obligation declaration regarding the handling of particularities when working with mobile devices depending on the protection needs, e.g. anti-theft protection, software installation, prevention of visibility of information itself (view and sight protection), use of a protected environment (e.g. enclosed space, non-public location), handling of authentication means.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
6.4,6.4 Roles and responsibilities for external IT service providers,3,(Reference to ISO 27017: Control CLD.6.3.1),1,1,,2,3,4.1.0
,,,,,,,,,
,,,<h1>To what extent are the roles and responsibilities defined which are shared between IT service providers (e.g. cloud providers) and the own organization?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"When using services and IT services (e.g. cloud services), the relationship between provider and the own organization is of particular significance to information security due to the shared responsibilities for the implementation of requirements. The own organization must continue to independently fulfil parts of the security requirements while other requirements are fulfilled in whole or in part by the service provider. The exact allocation of responsibilities always depends on the IT service or the service used and cannot be generally indicated.

If common understanding regarding the allocation of responsibilities is lacking among all parties involved, the security system may be weakened or rendered entirely ineffective. Therefore, the user of services and IT services must ensure at all times that a mutual understanding regarding the allocation of responsibilities is given and that it is clarified for each requirement, that and by whom it is fulfilled.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The concerned services and IT services used are identified.
+ The security requirements relevant to the service are determined and documented:
 - At least the applicability of the VDA ISA controls is verified and documented.
+ For each requirement, it is documented who is responsible to what extent for its implementation.
 - For the applicable VDA ISA controls, it is documented who has the responsibility for implementation or how it is shared.
+ The own organization fulfils its responsibilities.
+ Proof is provided that the service provider fulfils his responsibility.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ A list of concerned services and IT services exists.
+ The service configuration for IT services has been conceived, implemented and documented based on the necessary security requirements.
+ The service configuration is included in the regular security assessments.
+ Integration into local protective measures (such as secure authentication mechanisms) is established and documented.
+ The staff is trained (e.g. with respect to safe operation and configuration, secure handling of data according to their classification, danger awareness, handling of incidents).",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
7,7 Human Resources Security,,,,,,,,4.0.0
7.1,7.1 Contractual information security obligation of employees,3,(Reference to ISO 27001: Control A.7.1.2 and A.7.3.1),1,1,,2,3,4.1.0
,,,,,,,,,
,,,<h1>To what extent is staff (internal and external) contractually bound to comply with information security policies?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Organizations are subject to legislation, regulations and internal rules. Already at the hiring of staff, it must be ensured that both internal and external employees commit to compliance with the policies and are aware of the consequences of misconduct.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ A non-disclosure obligation is in effect.
+ An obligation to comply with the information security policies is in effect (see 5.1)",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ A non-disclosure obligation beyond the employment contract or order is in effect.
+ Information security aspects are considered in the employment contracts of the staff.   
+ Responsibilities and duties associated with the handling of sensitive information are specified in the employment contract.
+ A procedure for handling violations of contractual specifications relevant to information security is described.
+ Employees are informed of policy changes.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
7.2,7.2 Awareness and training of employees,3,(Reference to ISO 27002: Control 7.2.1 and 7.2.2),1,1,,3,4,4.0.0
,,,,,,,,,
,,,<h1>To what extent is staff (internal and external) made aware of and trained about the risks arising from handling and processing information?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Information security must be a natural and integral part of the work environment and adopted in the daily work of all employees. By means of information security training, employees must gain the necessary knowledge and competence for security-conscious behaviour. They must be particularly aware of what is expected of them with respect to information security and how to respond to security-critical situations.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ Employees are trained and made aware.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ A concept for awareness and training of employees is prepared.
 - Target groups for awareness and training measures (e.g. new employees, administrators) are defined and taken into account in the training concept.
+ The concept has been approved by the responsible management
  - Resources required for implementation are released
+ Training and awareness measures are carried out both at regular intervals and in response to events.
+ Participation in training and awareness measures is documented.
+ Contact persons for information security are known to employees.
+ Suitable KPIs for training and awareness purposes are defined and analyzed.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,"+ Regular learning objectives tests are conducted for participants of completed awareness and training measures.
+ The learning success with respect to with awareness and training programs is reviewed quantitatively and qualitatively.",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
8,8 Asset Management,,,,,,,,4.0.0
8.1,8.1 Inventory of assets,3,"(Reference to ISO 27001: Control A.8.1.1, A.8.1.2, A.8.1.3 and A.8.1.4)",1,1,,2,3,4.1.0
,,,,,,,,,
,,,<h1>To what extent are inventories existent for objects (assets) that contain information in different versions?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Beside the conventional inventory of physical objects, it is essential to obtain an overview of the information processed within the organization. For this purpose, information assets are elements of information-related character such as documents, illustrations, files, programs, servers, networks, facilities, vehicle prototypes, design-relevant or shaping tools and equipment. An information owner takes on the role of responsible person for individual information assets.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The information assets of the following categories are identified:
 - IT hardware and applications
 - IT-supporting infrastructure
 - information in electronic form, in paper form and physical form
 - individual and groups of persons holding relevant information
 - outsourced services (see also Control 6.4)
+ Each information asset is assigned to a responsible entity (individual or organizational unit).
+ Information assets are classified. (see also Control 8.2)",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Information asset inventories are prepared and updated regularly.
+ The lifecycle of information assets in its phases such as preparation, processing, storage or retention, transfer and deletion or destruction is defined.
+ Regulations for returning information assets on leaving the organization or on contract termination are in effect.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,"+ Regulations for acceptable use of information assets („acceptable use policy“) exist.
+ Information assets may be grouped (e.g. workplace computer), if required.",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,+ A specification regarding the explicit approval of the use of an information asset is defined.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
8.2,8.2 Classification of information,3,"(Reference to ISO 27001: Control A.8.2.1, A.8.2.2 and A.8.2.3)",1,1,,1,2,4.1.0
,,,,,,,,,
,,,"<h1>To what extent is information classified according to its protection needs and are there regulations in place regarding labelling, handling, transport, storage, retention, deletion and disposal?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Information shall be classified according to its value to an organization (classification). For this classification, the value of information to the organization shall be evaluated based on factors such as confidentiality, integrity and availability. The handling of information according to its classification shall be defined and implemented by the employees.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,+ A consistent scheme for the classification of documents/information is in place and implemented.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"Classification of information is done according to defined criteria, e.g. value, legal requirements, customer requirements, confidentiality, integrity and availability.
+ A policy including requirements for classification of information as well as the respective protective measures for identification, handling, transfer, storage, deletion and disposal is in place and implemented.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
8.3,8.3 Storage of information on mobile storage devices,3,"(Reference to ISO 27001: Control A.8.3.1, A.8.3.2 and A.8.3.3)",1,1,,2,3,4.1.0
,,,,,,,,,
,,,<h1>To what extent are appropriate procedures implemented for the management of information on mobile storage devices?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"Information on mobile storage devices is generally exposed to increased risks. In order to prevent loss of information in case a mobile storage device is lost or stolen, regulations to reduce these risks shall be defined and measures shall be taken.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Definition of regulations for handling information on mobile storage devices according to its classification. This includes the following aspects: transport, deletion, transfer, disposal and protective measures.
+ Data on mobile storage devices shall be protected according to defined regulations according to the classification.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,+ The organization provides means to support the employee in observing the rules.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,"+ A procedure shall be established for the required reaction of employees to cases of loss.
+ Regulations for handling during (business) travels within the country and abroad, e.g. when being viewed by authorities.
+ Information on mobile mobile storage devices should be transported in encrypted form.
 - Where encryption is not feasible, information shall be protected by similarly effective measures.",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
8.4,8.4 Removal of externally stored information assets,3,(Reference to ISO 27017: Control CLD.8.1.5),1,1,,2,3,4.1.0
,,,,,,,,,
,,,<h1>To what extent is the secure removal of information assets from IT services (particularly cloud) ensured? </h1> ,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,It shall be known how to terminate the use of a service in a controlled manner. Particular consideration shall be given to how information can be securely removed again from external systems (e.g. cloud systems).,,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ A withdrawal strategy (termination process) including the deletion and removal of assets from the cloud service is defined.
+ It is ensured that the provider will fulfil his responsibilities.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ The fulfilment of the provider’s responsibilities is regulated by contract.
+ A description of the termination process is available and will be adapted to any changes.
+ The responsibilities provided in the process are documented and accepted by the provider.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,+ The responsibilities are derived from the service documentation made available by the provider and documented.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
9,9 Access Control,,,,,,,,4.0.0
9.1,9.1 Access to networks and network services,3,(Reference to ISO 27001: Control A.9.1.2),1,1,,2,3,4.1.0
,,,,,,,,,
,,,"<h1>To what extent are policies and procedures regarding the user access to network services, IT systems and IT applications in place?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"The identity of the user of a network service, an IT system or an IT application shall be clearly verifiable in order to enable the unambiguous tracing of actions to the user. In order to ensure this, authentication (registration) procedures and mechanisms of network services, IT systems or IT applications shall be designed such that users are clearly identified and authenticated.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The procedures applied for user authentication are deemed secure and comply with the current state of the art.
+ The procedures for user authentication have been selected based on a risk assessment. Possible attack scenarios have been taken into account (e.g. possibility of direct access from the internet)
+ Further interactions shall only be possible upon successful authentication.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ A policy based on business and security-relevant requirements is created and documented.
+ Depending on the classification of information processed in IT systems or IT applications, suitable and secure authentication procedures are required and applied.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,"+ Prior to gaining access to data of high protection needs, users shall be authenticated at least by means of strong passwords according to the state of the art.
+ Depending on the risk assessment, the authentication procedure has been enhanced by supplementary measures
(e.g. permanent access monitoring with respect to irregularities or use of strong authentication)",,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,"+ Prior to gaining access to data of very high protection needs, users shall be authenticated at least by means of strong authentication (e.g. two-factor authentication) according to the state of the art.
",,,,,,
,,,,,,,,,
9.2,9.2 User registration,3,"(Reference to ISO 27001: Control A.9.2.1, A.9.2.2, A.9.2.4 and A.9.2.5)",1,1,,3,4,4.1.0
,,,,,,,,,
,,,"<h1>To what extent are procedures for user registration, change and de-registration implemented and is particularly the authentication information handled confidentially?</h1>",,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,The use of unique and personalized user IDs (user accounts) ensures clear traceability of actions. The authentication information (e.g. passwords) shall be known to the authorized user only. Defined processes for the lifecycle of user accounts are in place. It is regularly reviewed whether existing user accounts are needed.,,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The process of user ID management is documented and established.
+ The use of unique and personalized user accounts is specified.
+ The use of „collective accounts“ is regulated (e.g. restricted to cases where traceability of actions is dispensable).
+ User accounts are disabled immediately after the user has left the company (e.g. upon termination of the employment contract).
+ The authentication information is provided securely to the user.
+ User accounts are regularly reviewed.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ A basic user account with minimum access rights and functionalities is existent and used.
+ User accounts are created or authorized by the responsible body.
+ Creating user accounts is subject to an approval process (four-eyes policy).
+ Disabling the user accounts of service providers after completion of the task.
+ Deadlines for disabling and deleting user accounts are defined.
+ Aligned change of user accounts after the reassignment of the user to another work field.
+ Secure processes are established for the transfer of authentication information.",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
9.3,9.3 Privileged user accounts,3,(Reference to ISO 27001: Control A.9.2.3),1,1,,2,3,4.0.0
,,,,,,,,,
,,,<h1>To what extent is the allocation and use of privileged user and technical accounts regulated and is it subject to reviews?</h1>,,,,,,
,,,,,,,,,
,,,<b>Objective:</b>,,,,,,
,,,"The use of unique and personalized administrative user accounts ensures clear traceability of administrative actions. Administrators shall use the user account provided with privileged rights exclusively for administrative tasks and their standard user account for all other activities (e.g. E-mail, internet). Thus, it shall be ensured that only activities requiring privileged rights are actually carried out in this context.",,,,,,
,,,,,,,,,
,,,<b>Requirements:</b>,,,,,,
,,,,,,,,,
,,,<u>This must include:</u>,,,,,,
,,,"+ The use of unique and personalized administrative user accounts is regulated and established.
+ Distinction between user accounts (privileged user account, office user account) is ensured, e.g. by having two or more user accounts.
+ The management process (allocation/change/deletion) for privileged user IDs is documented and established.
+ Privileged rights are allocated upon approval only.
+ Secure authentication procedures are implemented for privileged user accounts.
+ User accounts with privileged rights are documented and reviewed at regular intervals.",,,,,,
,,,,,,,,,
,,,<u>This should include:</u>,,,,,,
,,,"+ Identification of the relevant or affected IT systems is completed and documented.
+ Rights are allocated on a need-to-use basis and according to the role and/or area of responsibility (observing the segregation of functions).
+ The following points shall be considered when reviewing the allocated privileged rights:
  - Privileged access rights are reviewed regularly (at adequate intervals, e.g. quarterly)
  - The reviews are documented.
  - Task field changes are immediately taken into account",,,,,,
,,,,,,,,,
,,,<u>This may include:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
,,,<u>Additionally in case of very high protection needs:</u>,,,,,,
,,,None.,,,,,,
,,,,,,,,,
